"mr-4 href","mt-2 src","company-name","ml-2","mt-3","text-blue-600","text-blue-600 href","detail-label","detail-label 2","detail-label 3","font-medium","font-medium href","after:inline-block","after:inline-block 2","after:inline-block 3","after:inline-block 4","after:inline-block 5","detail-label 4","my-1","after:inline-block 6","text-blue-600 3","text-blue-600 href 3","font-medium 2","font-medium href 2","after:inline-block 7","after:inline-block 8","after:inline-block 9","after:inline-block 10","after:inline-block 11","after:inline-block 12","rounded-md 2","font-medium 3","font-medium href 3","after:inline-block 13","after:inline-block 14","after:inline-block 15","rounded-md 3","after:inline-block 18","after:inline-block 19"
"https://www.workatastartup.com/companies/intryc","https://bookface-images.s3.amazonaws.com/small_logos/c7ba643e872dfb236016ba560ace56c12e3baf83.png","Intryc","(S24)","Intryc uses AI to automate quality assurance for customer support","intryc.com","https://www.workatastartup.com/companies/intryc/website","San Francisco","9 people","B2B Software and Services","Machine Learning Engineer","https://www.workatastartup.com/jobs/71752","Remote","fulltime","Will sponsor","$100K - $150K","0.50% - 0.70%","Operations","Interview Process","3+ years","intryc","https://x.com/intryc","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/thunder-compute","https://bookface-images.s3.amazonaws.com/small_logos/501bda7eaf23c59e167bae838b7a5bc2328b2fdb.png","Thunder Compute","(S24)","Launch GPU instances in one click for 80% less","thundercompute.com","https://www.workatastartup.com/companies/thunder-compute/website","Atlanta, GA","4 people","B2B Software and Services","Systems Engineer","https://www.workatastartup.com/jobs/76175","New York, NY, US / San Francisco, CA, US / Atlanta, GA, US","fulltime","Will sponsor","$100K - $200K","0.50% - 1.00%","Infrastructure","","3+ years","ThunderCompute","https://x.com/ThunderCompute","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/zeit-ai","https://bookface-images.s3.amazonaws.com/small_logos/a8b12b6d63b7ef88542a88cfd73009aa6a48073f.png","Zeit AI","(S24)","Enterprise insights from spreadsheet data with just a few words.","zeit-ai.com","https://www.workatastartup.com/companies/zeit-ai/website","6 people","B2B Software and Services","Analytics","Founding Engineer","https://www.workatastartup.com/jobs/71775","Munich, BY, DE / London, England, GB / Remote (London, England, GB; Berlin, BE, DE; Paris, Île-de-France, FR)","fulltime","US citizenship/visa not required","€70K - €110K EUR","0.10% - 1.00%","","Interview Process","3+ years","","","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/pax","https://bookface-images.s3.amazonaws.com/small_logos/70cdd1fa78c63083ab6a70c63195a46e8f6cad04.png","Pax","(S24)","AI Broker for Tariff Refunds","paxai.com","https://www.workatastartup.com/companies/pax/website","San Francisco","6 people","B2B Software and Services","Founding Design Frontend Engineer","https://www.workatastartup.com/jobs/77649","San Francisco, CA, US","fulltime","Will sponsor","$90K - $140K","0.50% - 1.00%","Supply Chain and Logistics","","Any (new grads ok)","","","Founding GTM","https://www.workatastartup.com/jobs/78249","San Francisco, CA, US","fulltime","Will sponsor","$90K - $150K","Any (new grads ok)","Will sponsor","View job","Founding Engineer","https://www.workatastartup.com/jobs/78570","San Francisco, CA, US","fulltime","$130K - $200K","View job","0.50% - 1.00%","3+ years"
"https://www.workatastartup.com/companies/conductor-quantum","https://bookface-images.s3.amazonaws.com/small_logos/6f87b0dddb05a92646b51780f21648d12f3019bf.png","Conductor Quantum","(S24)","Quantum computers on silicon chips using AI.","conductorquantum.com","https://www.workatastartup.com/companies/conductor-quantum/website","San Francisco","2 people","Industrials","Quantum Engineer - Member of Technical Staff","https://www.workatastartup.com/jobs/76007","San Francisco, CA, US","fulltime","Will sponsor","$120K - $180K","0.75% - 2.00%","","Interview Process","1+ years","conductorquant","https://twitter.com/conductorquant","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/anara","https://bookface-images.s3.amazonaws.com/small_logos/0b702e275c5d9f7a428a7fe250b337175e2b5e58.png","Anara","(S24)","AI for researchers","anara.com","https://www.workatastartup.com/companies/anara/website","San Francisco","5 people","B2B Software and Services","Founding Designer","https://www.workatastartup.com/jobs/75839","San Francisco, CA, US / Remote","fulltime","US citizenship/visa not required","$120K - $180K","0.50% - 2.50%","Productivity","","3+ years","anaralabs","https://twitter.com/anaralabs","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/zoa-research","https://bookface-images.s3.amazonaws.com/small_logos/0a603d093e3e3a39d0f3743b7f24486743b3bd06.png","Zoa Research","(S24)","Realistic RL environments for open-horizon tasks","zoaresearch.com","https://www.workatastartup.com/companies/zoa-research/website","New York","3 people","B2B Software and Services","Founding Research Engineer","https://www.workatastartup.com/jobs/78261","New York, NY, US","fulltime","Will sponsor","$150K - $300K","0.25% - 1.00%","","","Any (new grads ok)","","","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/saturn","https://bookface-images.s3.amazonaws.com/small_logos/1d77f433d1459ea2b50d107fe573ece73e32a6aa.png","Saturn","(S24)","Compliance and back office workflows for Wealth Managers.","saturnos.com","https://www.workatastartup.com/companies/saturn/website","London, United Kingdom","18 people","Financial Technology and Services","AI Engineer - London","https://www.workatastartup.com/jobs/71840","London, England, GB","fulltime","US citizenship/visa not required","£55K - £80K GBP","0.20% - 0.25%","","","3+ years","","","Founding AI Engineer - London","https://www.workatastartup.com/jobs/74873","London, England, GB","fulltime","US citizenship/visa not required","£80K - £120K GBP","0.25% - 0.50%","3+ years","View job","","","","","","","",""
"https://www.workatastartup.com/companies/conveo","https://bookface-images.s3.amazonaws.com/small_logos/be917e02391c4f6a7e2852343b9919dbbb24d2e6.png","Conveo","(S24)","Qualitative Research Conducted and Analyzed by AI","conveo.ai","https://www.workatastartup.com/companies/conveo/website","Antwerp, Belgium","13 people","B2B Software and Services","🚀 Join Conveo.ai as a Chief of Staff – Work Directly with Founders Across All Functions!","https://www.workatastartup.com/jobs/72939","Antwerp, Flanders, BE","fulltime","Will sponsor","$40K - $70K","0.10% - 0.30%","","","1+ years","ConveoAI","https://x.com/ConveoAI","","","","","","","","","","","","","","","","",""
"https://www.workatastartup.com/companies/kastle","https://bookface-images.s3.amazonaws.com/small_logos/5599d6ea2250a3e737886dc9c0347fc88fcd2abb.png","Kastle","(S24)","AI agents for mortgage servicing","kastle.ai","https://www.workatastartup.com/companies/kastle/website","3 people","B2B Software and Services","","Founding Applied AI Engineer at Kastle","https://www.workatastartup.com/jobs/73140","San Francisco, CA, US","fulltime","Will sponsor","$140K - $180K","0.60% - 1.40%","","","Any (new grads ok)","","","","","","","","","","","","","","","","","","",""
